## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.pageUrl,entity.imageUrl,entity.entityType,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,entity.custom11,entity.custom12,entity.custom13,entity.custom14,entity.custom15,entity.custom16,entity.custom17,entity.custom18,entity.custom19
cat-carros-antigos,Carros antigos,https://www.webmotors.com.br/carros-antigos,https://catalogo.webmotors.com.br/imagens/prod/fotos-temas/CardDesktop/3d159255-5a4f-4bdf-bfbb-426f23981f4e_CardDesktop.webp?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
cat-carros-classicos,Carros clássicos,https://www.webmotors.com.br/carros-classicos,https://www.webmotors.com.br/imagens/prod/fotos-temas/desktop/thumbs/29a9f229-c43c-4b9c-9a15-1b9130ffa8d4_desktop_80x80.jpg?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
cat-carros-grandes,Carros grandes,https://www.webmotors.com.br/carros-grandes,https://catalogo.webmotors.com.br/imagens/prod/fotos-temas/CardDesktop/5f2e6b79-e19f-4ba0-8fae-9220f9e01259_CardDesktop.webp?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
cat-carros-hibridos,Carros híbridos,https://www.webmotors.com.br/carros-hibridos,https://catalogo.webmotors.com.br/imagens/prod/fotos-temas/CardDesktop/8d1f069a-6af2-4ff7-8c17-ecbec154ada0_CardDesktop.webp?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
cat-carros-importados,Carros importados,https://www.webmotors.com.br/carros-importados,https://www.webmotors.com.br/imagens/prod/fotos-temas/desktop/thumbs/aac27def-ac74-4d93-b1b2-aebfda361eee_desktop_80x80.jpg?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
cat-carros-para-aplicativos,Carros para aplicativos,https://www.webmotors.com.br/carros-para-aplicativos,https://catalogo.webmotors.com.br/imagens/prod/fotos-temas/CardDesktop/7929f8bb-d724-4e48-9065-21387e376a74_CardDesktop.webp?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
cat-carros-para-pcd,Carros para PCD,https://www.webmotors.com.br/carros-para-pcd,https://www.webmotors.com.br/imagens/prod/fotos-temas/CardDesktop/c735c38f-0236-4c71-b15b-74489059e9a5_CardDesktop.jpg?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
cat-carros-pequenos,Carros pequenos,https://www.webmotors.com.br/carros-pequenos,https://www.webmotors.com.br/imagens/prod/fotos-temas/desktop/thumbs/53807154-885c-4452-9347-6c698f6da8bb_desktop_80x80.jpg?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
cat-carros-populares,Carros populares,https://www.webmotors.com.br/carros-populares,https://www.webmotors.com.br/imagens/prod/fotos-temas/desktop/thumbs/096e7024-eea3-41f8-8c33-46a5a357ff35_desktop_80x80.jpg?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
cat-conversiveis,Conversíveis,https://www.webmotors.com.br/conversiveis,https://catalogo.webmotors.com.br/imagens/prod/fotos-temas/CardDesktop/cd09fda0-8e95-4842-ae94-201bac03175d_CardDesktop.webp?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
cat-primeiro-carro,Primeiro carro,https://www.webmotors.com.br/primeiro-carro,https://www.webmotors.com.br/imagens/prod/fotos-temas/desktop/thumbs/4d11fe70-663a-47a5-b3aa-ad0b9f106880_desktop_80x80.jpg?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
cat-carros-de-7-lugares,Carros de 7 lugares,https://www.webmotors.com.br/carros-de-7-lugares,https://www.webmotors.com.br/imagens/prod/fotos-temas/desktop/thumbs/eafe764a-52f8-4d5b-b044-c8b826ecca02_desktop_80x80.jpg?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
cat-carros-com-duas-portas,Carros com 2 portas,https://www.webmotors.com.br/carros-com-duas-portas,https://www.webmotors.com.br/imagens/prod/fotos-temas/desktop/thumbs/138b410e-3526-4f47-aee1-e99149f1ea0e_desktop_80x80.jpg?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
